title,type,Episodes,Status,Aired,Premiered,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Score,Rank,Popularity,Members
Potecco Babies (2011),ONA,12,Finished Airing,"Apr 22, 2011 to Jul 10, 2011",,-,-,Shin-Ei Animation,Unknown,Comedy,1 min. per ep.,G - All Ages,N/A,11230,13640,257
Qiang Niang,ONA,12,Finished Airing,"Aug 18, 2017 to Oct 27, 2017",,"Tencent Animation & Comics,Tencent Penguin Pictures",-,Hoods Entertainment,Game,"Action,Military,Sci-Fi,Slice of Life,Space,Comedy",14 min. per ep.,PG-13 - Teens 13 or older,N/A,11272,11806,502
Qiang Shen Ji: Tegong Shijie Pian,ONA,12,Finished Airing,"Jun 15, 2018 to Aug 31, 2018",,-,-,-,Game,"Action,Sci-Fi",21 min. per ep.,PG-13 - Teens 13 or older,N/A,11273,15257,157
Qiang Shen Ji: Xuezu Mishi Pian,ONA,12,Finished Airing,"Dec 15, 2019 to Feb 23, 2020",,-,-,-,Game,"Action,Sci-Fi",20 min. per ep.,PG-13 - Teens 13 or older,N/A,11274,15995,119
Qin Xia,ONA,12,Currently Airing,"Oct 16, 2020 to Dec 25, 2020",,-,-,-,Original,"Action,Adventure,Fantasy",Unknown,PG-13 - Teens 13 or older,N/A,11281,13451,270
Qing Chi Hong Xiaodou Ba! 3rd Season,ONA,12,Finished Airing,"Jan 12, 2020 to Apr 5, 2020",,bilibili,-,Making Animation,Original,"Slice of Life,Comedy",6 min. per ep.,G - All Ages,N/A,11283,16553,89
Qing Chi Hong Xiaodou Ba! 4th Season,ONA,12,Currently Airing,"Jul 10, 2020 to ?",,bilibili,-,Making Animation,Original,"Slice of Life,Comedy",5 min. per ep.,G - All Ages,N/A,11284,16518,92
Saikin Ponta,TV,12,Finished Airing,"Apr 7, 1994 to Mar 2, 1995",Spring 1994,NHK,-,-,Unknown,"Kids,Slice of Life",5 min. per ep.,PG - Children,N/A,11406,14602,194
San Jian Hao Zhi Ban Mian Ren,ONA,12,Finished Airing,"Mar 16, 2016 to Jun 1, 2016",,-,-,-,Original,"Action,Adventure,Romance,Martial Arts,Fantasy",12 min. per ep.,None,N/A,11429,16868,63
Seibu Tetsudou Ekiin Tako-chan,ONA,12,Finished Airing,"Apr 15, 2011 to Feb 29, 2012",,-,-,Shin-Ei Animation,Unknown,"Comedy,Parody,Police,Slice of Life",2 min. per ep.,G - All Ages,N/A,11484,14365,207
Shampoo Ouji,TV,12,Finished Airing,"Oct 1, 2007 to Dec 17, 2007",Fall 2007,-,-,-,Picture book,"Adventure,Fantasy,Kids",5 min. per ep.,G - All Ages,N/A,11534,16282,105
Shen Ming Zhi Zhou,ONA,12,Finished Airing,"Dec 2, 2015 to May 11, 2016",,iQIYI,-,Haoliners Animation League,Manga,"Adventure,Fantasy",15 min. per ep.,PG-13 - Teens 13 or older,N/A,11548,11626,535
